DATUM OD,DATUM DO,NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,KLUB CISLO,REGISTRACE DO,URL
"""DATUM OD""","""DATUM DO""",NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,"""KLUB CISLO""","""REGISTRACE DO""",URL
2024-10-05,2024-10-05,"""Husitsk tt 65. ronk + Jihoesk KP""",Borek,"""2. kategorie""","""Mui, eny, Dorostenci st., Dorostenky st.""","""SP 30+30, SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF""",,,42,2024-10-02,https://shooting.cz/cs/souteze/2024-10-05-husitsky-stit-65-rocnik-jihocesky-kp-1
2024-10-05,2024-10-05,"""Memoril Vlastimila Hejla""","""Praha 9 Hloubtn""","""2. kategorie""","""Mui, eny""","""SP 30+30""",,,121,2024-10-03,https://shooting.cz/cs/souteze/2024-10-05-memorial-vlastimila-hejla
2024-10-06,2024-10-06,"""Pohr SSK Velk Mezi""","""Velk Mezi""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 60, LM 60""",,,324,,https://shooting.cz/cs/souteze/2024-10-06-pohar-ssk-velke-mezirici
2024-10-12,2024-10-12,"""Budjick diabolka""",Borek,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""",,,301,2024-10-09,https://shooting.cz/cs/souteze/2024-10-12-budejicka-diabolka-1
2024-10-12,2024-10-12,"""Pohr Sopky""","""Nov paka""","""2. kategorie""","""Mui, eny""","""LM 60""",,,192,2024-10-12,https://shooting.cz/cs/souteze/2024-10-12-pohar-sopky-1
2024-10-12,2024-10-12,"""Prask steleck festival""","""Praha 9 Hloubtn""","""2. kategorie""","""Mui, eny""","""VP 15+15""",,,121,2024-10-10,https://shooting.cz/cs/souteze/2024-10-12-prazsky-strelecky-festival-1
2024-10-19,2024-10-19,"""Podzimn sout z pedovek 2024""",Ostrom,"""2. kategorie""",Mui,"""PePiC, PeRe, KPiC, DPi, PePiV, PePuC, PePuV, KPuC, Werndl""",,,214,2024-10-11,https://shooting.cz/cs/souteze/2024-10-19-podzimni-soutez-z-predovek-2024-1
2024-10-19,2024-10-19,"""VC Borku - 26.ronk""",Borek,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st.""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF""",,,42,2024-10-16,https://shooting.cz/cs/souteze/2024-10-19-vc-borku-26-rocnik-1
2024-10-19,2024-10-20,"""Tvrk 2024""",Plze,"""2. kategorie""",Mui,"""VzPi 60, VzPu 60 ISSF""",,,69,2024-10-19,https://shooting.cz/cs/souteze/2024-10-19-tvrdak-2024
2024-10-26,2024-10-26,"""Podzimn sportka""","""Praha 9 Hloubtn""","""3. kategorie""","""Mui, eny""","""SP 30 men""",,,121,2024-10-24,https://shooting.cz/cs/souteze/2024-10-26-podzimni-sportka-1
2024-11-02,2024-11-02,"""Podzimn sout""","""Nov paka""","""3. kategorie""",Mui,"""SP 30+30""",,,192,2024-11-02,https://shooting.cz/cs/souteze/2024-11-02-podzimni-soutez-2
2024-11-02,2024-11-02,"""VC Stromovky - 26.ronk""",Borek,"""2. kategorie""","""Mui, eny, Dorostenci st.""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF""",,,301,2024-10-30,https://shooting.cz/cs/souteze/2024-11-02-vc-stromovky-26-rocnik-1
2024-11-02,2024-11-02,"""Vrchlabsko-Trutnovsk vzduchovkov liga 2024-2025 1.kolo""",Trutnov,"""2. kategorie, Pi""","""Mui, eny, Dorostenci st., Dorostenky st., Veterni""","""VzPi 60, VzPi 40""",,,95,2024-11-02,https://shooting.cz/cs/souteze/2024-11-02-vrchlabsko-trutnovska-vzduchovkova-liga-2024-2025-1-kolo-1
2024-11-23,2024-11-24,"""Grand Prix Rapid Plze""",Plze,"""1. kategorie, Sledovan""","""Mui, eny, Dorostenci st.""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40""",,,232,2024-11-14,https://shooting.cz/cs/souteze/2024-11-23-grand-prix-rapid-plzen
2024-11-30,2024-11-30,"""Vrchlabsko-Trutnovsk vzduchovkov liga 2024-2025 - 2.kolo""",Trutnov,"""2. kategorie, Pi""","""Mui, eny, Dorostenci st., Dorostenky st., Veterni""","""VzPi 60, VzPi 40""",,,95,2024-11-30,https://shooting.cz/cs/souteze/2024-11-30-vrchlabsko-trutnovska-vzduchovkova-liga-2024-2025-2-kolo-1
2024-12-07,2024-12-07,"""Vnon stlen - 16.ronk""",Borek,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""",,,301,2024-12-04,https://shooting.cz/cs/souteze/2024-12-07-vanocni-strileni-16-rocnik
2025-01-04,2025-01-04,"""Vrchlabsko-Trutnovsk vzduchovkov liga 2024-2025 - 3.kolo""",Trutnov,"""2. kategorie, Pi""","""Mui, eny, Dorostenci st., Dorostenky st., Veterni""","""VzPi 60, VzPi 40""",,,95,2024-11-02,https://shooting.cz/cs/souteze/2025-01-04-vrchlabsko-trutnovska-vzduchovkova-liga-2024-2025-3-kolo-1
2025-02-01,2025-02-01,"""Vrchlabsko-Trutnovsk vzduchovkov liga 2024-2025 - 4.kolo""",Trutnov,"""2. kategorie, Pi""","""Mui, eny, Dorostenci st., Dorostenky st., Veterni""","""VzPi 60, VzPi 40""",,,95,2025-02-01,https://shooting.cz/cs/souteze/2025-02-01-vrchlabsko-trutnovska-vzduchovkova-liga-2024-2025-4-kolo-1
2025-02-01,2025-02-02,"""Testovac zvod""","""Hradec Krlov""","""Test, 3. kategorie""","""Mui, eny, Junioi""","""VzPi 60, SP 30+30, VP 30+30""",,,62,,https://shooting.cz/cs/souteze/2025-02-01-testovaci-zavod
2025-03-01,2025-03-01,"""Vrchlabsko-Trutnovsk vzduchovkov liga 2024-2025 - finle""",Trutnov,"""2. kategorie, Pi""","""Mui, eny, Dorostenci st., Dorostenky st., Veterni""","""VzPi 60, VzPi 40""",,,95,2025-03-01,https://shooting.cz/cs/souteze/2025-03-01-vrchlabsko-trutnovska-vzduchovkova-liga-2024-2025-finale-1
